@relation 'Features-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-9,11-18,20-43'

@attribute EventdensityMean numeric
@attribute BrightnessMean numeric
@attribute Class {Happy,Sad}

@data
2.35525,0.5798,Happy
3.484688,0.704203,Happy
2.739251,0.510309,Happy
2.532014,0.551474,Happy
3.005008,0.462933,Happy
2.107728,0.497973,Happy
2.504174,0.536555,Happy
3.619303,0.561272,Happy
2.940194,0.232516,Happy
3.6979,0.589954,Happy
4.858757,0.635423,Happy
4.815303,0.452147,Happy
3.232,0.312654,Happy
3.98293,0.511976,Happy
2.605863,0.452133,Happy
3.052603,0.514603,Happy
4.22833,0.258116,Happy
4.482391,0.559605,Happy
3.008299,0.663507,Happy
5.176768,0.522491,Happy
2.764977,0.387164,Happy
3.115814,0.526366,Happy
3.224756,0.508817,Happy
3.008461,0.523239,Happy
4.246072,0.618563,Happy
4.613842,0.501783,Happy
3.85906,0.637494,Happy
2.94216,0.591247,Happy
2.781211,0.614561,Happy
2.641257,0.481175,Happy
4.199311,0.610176,Happy
3.434981,0.549114,Happy
3.293522,0.555832,Happy
3.710046,0.471436,Happy
2.074689,0.342835,Sad
2.760736,0.534951,Sad
3.510791,0.496764,Sad
1.576133,0.575568,Sad
0.726392,0.448124,Sad
1.738549,0.439304,Sad
3.25526,0.540248,Sad
3.380589,0.403664,Sad
3.450901,0.211795,Sad
4.74934,0.595437,Sad
2.04698,0.169664,Sad
3.105906,0.322622,Sad
1.511189,0.369589,Sad
2.039452,0.256157,Sad
2.449109,0.477338,Sad
1.679762,0.418557,Sad
2.836412,0.287313,Sad
3.059528,0.254464,Sad
2.022129,0.485258,Sad
4.529915,0.479688,Sad
1.103753,0.152152,Sad
1.705757,0.131185,Sad
4.257332,0.50623,Sad
3.200264,0.436318,Sad
2.751654,0.532969,Sad
3.69254,0.630903,Sad
