MIRtoolbox1.6.1,_RMSenergy_Mean,_AttackTime_Mean,_AttackTime_Std,_AttackTime_Slope,_AttackTime_PeriodEntropy,_Duration_Mean,_Duration_Std,_Duration_Slope,_Duration_PeriodEntropy,_Eventdensity_Mean,_Tempo_Mean,_MetricalCentroid_Mean,_MetricalCentroid_Std,_MetricalCentroid_Slope,_MetricalCentroid_PeriodEntropy,_Pulseclarity_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Brightness_Mean,_Rolloff_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Inharmonicity_Mean,_Spectralirregularity_Mean,_Key_Mean,_Mode_Mean,_Tonalcentroid_Mean_1,_Tonalcentroid_Mean_2,_Tonalcentroid_Mean_3,_Tonalcentroid_Mean_4,_Tonalcentroid_Mean_5,_Tonalcentroid_Mean_6
01BlackIsTheColorofMyTrueLovesHair.wav,0.158133,0.040888,0.021598,0.055705,0.973761,3.179294,3.228266,0.428357,0.813933,2.074689,113.480627,169.735275,52.713132,-0.405762,0.963277,0.744494,1691.007018,1942.665321,0.342835,3269.219685,3.035976,-0.218621,0.100262,0.239651,-0.019081,0.036684,-0.267080,0.083433,0.022373,-0.111457,-0.004723,0.070933,0.243548,0.548214,4.357384,10.000000,-0.226387,2.020946,-0.306398,-0.108415,0.771614,0.123443,-0.118402
09Porquetefuiste_.wav,0.216259,0.043968,0.021637,0.107031,0.967239,0.728196,0.889490,-0.058039,0.897835,2.760736,104.419011,202.953796,33.486840,-0.187425,0.952797,0.779425,3611.394846,3888.103483,0.534951,8083.215380,1.935897,0.547061,0.064129,0.117604,-0.132371,-0.144857,-0.052466,-0.048483,0.020208,-0.025743,-0.007848,-0.047977,0.082424,0.460902,4.373537,1.000000,-0.064817,-0.122598,0.843624,0.683759,2.010229,-0.065248,0.227941
09Runaway(Ft.PushaT).wav,0.390672,0.031815,0.020390,-0.031229,0.967441,2.394500,2.426298,0.148385,0.920710,3.510791,112.222845,240.813506,32.281424,-0.619666,0.958532,0.715100,2704.648110,3125.857393,0.496764,5746.231985,1.599762,-0.064512,0.072237,0.061376,0.181200,0.137915,0.098092,-0.071276,0.125735,-0.004187,0.100635,0.056739,0.113676,0.448307,5.016534,2.000000,-0.096351,-0.207743,-0.888502,-0.328871,0.558900,-0.013982,-0.178838
19Murir.wav,0.126174,0.061142,0.023720,-0.016703,0.953316,0.228174,0.093958,0.065463,0.948713,1.576133,121.932273,92.056978,20.691934,-0.266669,0.968491,0.765524,4039.556543,4569.289034,0.575568,8779.007006,2.004483,-0.279021,-0.219856,0.208029,-0.141131,-0.191874,0.204853,-0.224612,0.072957,0.257286,0.190769,-0.002122,-0.135298,0.485706,4.594288,7.000000,0.056453,-0.203811,-0.494908,0.252011,-0.799555,0.222319,0.209360
AdagioAlbinoniw.wav,0.046973,0.032998,0.017100,0.058372,0.967811,2.964112,2.204553,-0.399578,0.912541,0.726392,123.945915,230.856945,93.794060,-0.069659,0.963848,0.777400,1944.073270,2247.057217,0.448124,3576.803827,2.490116,-0.565288,0.713878,-0.235745,0.027676,-0.131009,0.143908,0.009253,-0.431450,-0.412108,-0.178884,-0.004291,0.072558,0.448153,3.830742,1.000000,-0.139433,-0.305317,1.170383,1.003509,0.835950,-0.453762,0.509382
AdagioBarberw.wav,0.036691,0.033626,0.019266,-0.150540,0.966834,8.134643,4.995336,0.799640,0.892115,1.738549,102.621610,146.373855,36.941594,-0.519923,0.964870,0.769262,1792.076467,1816.055119,0.439304,3582.586670,2.445220,-0.350887,1.069548,-0.301633,0.366648,-0.111524,0.060274,-0.117010,-0.109571,-0.040950,0.005697,0.269717,0.232493,0.518074,3.759780,7.000000,0.019264,-1.281568,0.340153,-0.633261,-0.955749,0.138639,0.390100
Always-BonJovi.wav,0.233315,0.036649,0.020738,-0.038843,0.960424,4.782887,4.440956,-0.244966,0.857831,3.255260,139.258527,158.157750,28.602217,-0.017346,0.959838,0.740054,3040.952896,3460.071592,0.540248,6257.161903,1.780450,-0.786743,0.063347,0.258572,0.386705,0.048899,0.072690,-0.079155,-0.021458,-0.024941,-0.063345,-0.075210,0.024700,0.488416,4.579968,5.000000,0.037281,0.331940,-1.898642,0.596406,0.144842,-0.187361,-0.293228
ArcticMonkeys-DanceLittleLiar.wav,0.247164,0.033890,0.022334,-0.055056,0.967368,2.071531,1.508286,0.188000,0.942974,3.380589,100.147287,191.356380,10.772457,0.122461,0.958048,0.778142,3028.795169,4324.443436,0.403664,7972.353029,2.286716,0.868799,0.801682,0.173380,0.472205,-0.062395,0.060057,0.028338,-0.127715,0.117419,-0.113626,0.100276,0.082830,0.368995,4.613423,2.000000,0.085829,-1.154298,-0.610947,-0.387581,0.922675,-0.387784,-0.358132
BangBang_short.wav,0.104917,0.048596,0.019162,-0.228888,0.964791,0.524360,0.318204,0.368638,0.938188,3.450901,74.709849,174.642308,117.707407,-0.710842,0.947301,0.778199,1159.224839,1748.682995,0.211795,2199.751282,3.543931,0.334621,0.676173,-0.160916,-0.034935,-0.095774,0.366779,0.217635,0.205841,0.110600,0.203902,0.115753,-0.025991,0.511721,4.317898,1.000000,-0.128041,-0.546023,0.840270,0.279652,0.496967,0.062647,0.165645
Don'tCry-Guns'nRose.wav,0.244870,0.033412,0.018495,0.039821,0.962785,12.786236,6.479443,0.793442,0.894580,4.749340,82.933878,112.576419,17.822063,-0.274504,0.954238,0.751210,3011.353122,3057.226257,0.595437,6057.832575,1.470288,-0.747563,0.195511,-0.077726,0.242220,0.145427,-0.109622,0.196710,-0.081438,0.095818,0.028815,0.006206,0.085169,0.491704,4.206472,9.000000,-0.335515,-0.841856,-0.676319,0.869794,0.709295,-0.181039,-0.242990
